word1,word2,pivot,label,RelatedTo_att1,RelatedTo_att2,IsA_att1,IsA_att2,UsedFor_att1,UsedFor_att2,HasContext_att1,HasContext_att2,PartOf_att1,PartOf_att2,CapableOf_att1,CapableOf_att2
buzzard,eagle,temperatures,0,1,1,1,1,0,1,1,0,0,1,1,1
peach,cherry,pit,0,1,1,1,1,1,1,1,0,1,0,1,1
butterfly,crocodile,antennae,1,1,1,1,1,1,1,1,0,1,0,0,0
brush,tray,bristles,1,1,1,1,1,1,1,1,0,0,1,1,1
cod,asparagus,fins,1,1,1,0,1,0,1,0,0,0,1,1,0
belt,tie,extermination,0,0,1,1,1,1,1,0,1,0,1,0,1
gown,trousers,claws,0,1,1,0,1,1,1,0,0,0,0,1,0
tangerine,carrot,sections,1,0,1,1,1,1,1,0,1,1,0,1,0
blackbird,owl,bubbles,0,1,1,1,1,0,1,0,1,1,1,1,1
tongs,fork,sharpened,0,1,1,1,1,1,1,0,1,1,0,1,1
beetle,ant,catching,0,1,1,1,1,1,1,0,1,0,0,0,1
strawberry,grapefruit,carrots,0,1,1,1,1,1,0,1,0,0,0,1,1
bayonet,shotgun,records,0,1,1,1,1,1,1,0,1,1,0,0,1
screwdriver,chisel,heads,1,1,1,1,1,1,1,0,0,0,0,0,1
asparagus,carrot,plaid,0,1,1,1,1,1,1,0,1,1,0,0,1
mixer,stereo,blades,1,1,1,1,1,1,1,0,1,0,0,0,1
bed,curtains,buttons,0,1,1,1,1,1,1,0,1,0,0,1,0
pineapple,pear,digging,0,1,1,1,0,1,1,0,1,0,0,1,1
cloak,dress,flushing,0,1,1,1,1,1,1,0,1,0,1,1,1
parakeet,starling,colourful,1,1,1,1,1,1,1,1,0,1,1,0,1
saxophone,violin,reeds,1,1,1,1,1,1,1,1,1,0,1,0,1
cat,bear,paws,0,1,1,1,1,1,1,0,0,0,0,1,1
plum,banana,rabbits,0,1,1,1,0,1,1,0,1,1,0,1,1
freezer,oven,electrical,1,1,1,1,1,1,1,1,0,0,0,1,1
caterpillar,snail,colourful,1,1,1,1,1,1,0,0,0,0,0,1,1
sweater,jeans,sleeves,1,1,1,1,1,0,1,0,0,0,0,0,1
trousers,gown,cheese,0,1,1,1,1,1,1,0,1,0,0,0,1
jeep,buggy,criminals,0,1,1,1,1,1,1,0,0,0,0,1,1
corn,carrot,cobs,1,1,1,1,1,1,1,1,0,1,0,1,1
chicken,dish,foundation,0,1,0,1,1,1,1,0,0,0,0,1,1
beaver,raccoon,pit,0,1,1,1,1,1,0,1,0,0,0,1,1
ball,knife,frog,0,1,1,1,0,1,1,1,0,1,0,0,1
lobster,octopus,twisted,0,1,1,1,1,1,1,1,0,0,0,0,1
crowbar,tongs,spoon,0,1,1,1,1,1,1,1,0,0,0,1,1
duck,garlic,waddles,1,1,1,1,1,0,1,1,0,1,1,0,1
coat,dress,materials,1,1,1,1,1,1,1,0,0,0,1,0,0
chicken,mushroom,bars,0,1,1,1,1,1,1,1,0,0,1,1,1
vulture,starling,bald,1,1,1,1,1,1,1,0,0,0,0,1,1
dandelion,spinach,pollution,0,1,1,1,1,0,1,1,0,0,0,1,0
pigeon,dove,flies,0,1,1,1,1,1,1,0,0,1,0,0,1
coyote,raccoon,eating,0,1,1,1,1,1,1,0,1,1,0,1,1
pencil,brush,graphite,1,1,1,1,1,1,1,1,1,0,0,1,0
rabbit,bear,carrots,1,1,1,1,1,1,0,1,0,0,0,0,1
blouse,shirt,smelling,0,1,1,1,1,1,1,0,1,0,0,0,1
seagull,hornet,spits,0,1,1,1,0,1,1,1,0,0,1,1,1
subway,bus,crowded,0,1,1,1,1,1,1,0,1,0,0,1,0
closet,fridge,sandwiches,0,1,1,1,1,1,0,1,0,0,1,0,1
yam,potato,chest,0,1,1,1,1,1,0,0,0,1,1,0,0
trousers,socks,cuffs,1,1,1,1,1,1,1,1,0,0,0,1,1
corn,beans,cobs,1,1,1,1,1,1,1,1,1,1,0,1,1
pelican,eagle,flies,0,1,1,1,1,1,1,0,1,1,0,1,1
fawn,sweater,brakes,0,1,1,1,1,1,1,0,0,0,1,1,0
comb,knife,stem,0,0,1,1,1,1,1,1,1,0,0,1,1
mat,gloves,advertising,0,1,1,1,1,1,0,1,1,1,0,0,1
leopard,squirrel,animals,0,1,1,1,1,1,1,0,0,0,0,1,1
crab,cod,claws,1,1,1,1,1,1,1,0,1,0,1,0,1
pine,cedar,emergencies,0,1,1,1,1,1,1,0,0,0,0,1,1
